position(x) position(y) position(z)
24554852.635372 132400.451861 10143651.679632
24437468.777933 193050.099455 10424109.267413
24317087.797738 255402.824834 10702351.529844
24193754.367394 319492.082181 10978319.514385
24067514.105722 385350.392665 11251954.760515
23938413.556526 453009.325698 11523199.311957
23806500.166960 522499.480646 11791995.728788
23671822.265487 593850.469017 12058287.099433
23534429.039454 667090.897135 12322017.052544
23394370.512285 742248.349298 12583129.768754
23251697.520303 819349.371437 12841569.992305
23106461.689199 898419.455279 13097283.042559
22958715.410152 979483.023029 13350214.825373
22808511.815617 1062563.412565 13600311.844349
22655904.754784 1147682.863167 13847521.211946
22500948.768737 1234862.501775 14091790.660467
22343699.065301 1324122.329790 14333068.552900
22184211.493612 1415481.210426 14571303.893624
22022542.518404 1508956.856608 14806446.338978
21858749.194038 1604565.819432 15038446.207681
21692889.138281 1702323.477191 15267254.491113
21525020.505841 1802244.024965 15492822.863444
21355201.961685 1904340.464793 15715103.691621
21183492.654136 2008624.596412 15934050.045199
21009952.187777 2115107.008592 16149615.706025
20834640.596163 2223797.071051 16361755.177760
20657618.314360 2334702.926957 16570423.695257
20478946.151326 2447831.486034 16775577.233769
20298685.262140 2563188.418258 16977172.518011
20116897.120095 2680778.148156 17175167.031047
19933643.488675 2800603.849708 17369519.023026
19748986.393420 2922667.441855 17560187.519749
19562988.093693 3046969.584611 17747132.331070
19375711.054370 3173509.675790 17930314.059134
19187217.917461 3302285.848338 18109694.106439
18997571.473668 3433294.968280 18285234.683737
18806834.633914 3566532.633278 18456898.817755
18615070.400833 3701993.171807 18624650.358751
18422341.840251 3839669.642938 18788453.987888
18228712.052658 3979553.836736 18948275.224441
18034244.144705 4121636.275281 19104080.432819
17839001.200710 4265906.214286 19255836.829413
17643046.254214 4412351.645342 19403512.489267
17446442.259585 4560959.298763 19547076.352565
17249252.063686 4711714.647050 19686498.230937
17051538.377624 4864601.908957 19821748.813585
16853363.748585 5019604.054160 19952799.673221
16654790.531784 5176702.808545 20079623.271825
16455880.862519 5335878.660073 20202192.966215
16256696.628368 5497110.865272 20320483.013429
16057299.441525 5660377.456295 20434468.575925
15857750.611288 5825655.248598 20544125.726587
15658111.116726 5992919.849185 20649431.453540
15458441.579522 6162145.665446 20750363.664787
15258802.237008 6333305.914580 20846901.192640
15059252.915418 6506372.633586 20939023.797970
14859853.003348 6681316.689827 21026712.174260
14660661.425459 6858107.792163 21109947.951468
14461736.616417 7036714.502645 21188713.699696
14263136.495093 7217104.248760 21262992.932661
14064918.439029 7399243.336231 21332770.110977
13867139.259190 7583096.962358 21398030.645243
13669855.174996 7768629.229896 21458760.898924
13473121.789674 7955803.161467 21514948.191052
13276994.065909 8144580.714493 21566580.798719
13081526.301831 8334922.796645 21613647.959377
12886772.107338 8526789.281811 21656139.872945
12692784.380761 8720139.026554 21694047.703710
12499615.285897 8914929.887074 21727363.582037
12307316.229405 9111118.736652 21756080.605880
12115937.838583 9308661.483579 21780192.842093
11925529.939540 9507513.089544 21799695.327547
11736141.535759 9707627.588498 21814584.070041
11547820.787084 9908958.105960 21824856.049026
11360614.989109 10111456.878772 21830509.216118
11174570.553015 10315075.275289 21831542.495422
10989732.985828 10519763.815992 21827955.783655
10806146.871142 10725472.194520 21819749.950069
10623855.850283 10932149.299103 21806926.836175
10442902.603950 11139743.234398 21789489.255274
10263328.834322 11348201.343705 21767440.991787
10085175.247648 11557470.231563 21740786.800383
9908481.537332 11767495.786706 21709532.404919
9733286.367513 11978223.205378 21673684.497173
9559627.357143 12189597.014990 21633250.735388
9387541.064588 12401561.098108 21588239.742614
9217062.972745 12614058.716766 21538661.104856
9048227.474679 12827032.537085 21484525.369029
8881067.859803 13040424.654191 21425844.040709
8715616.300591 13254176.617427 21362629.581699
8551903.839834 13468229.455826 21294895.407397
8389960.378455 13682523.703867 21222655.883968
8229814.663871 13896999.427463 21145926.325324
8071494.278926 14111596.250202 21064722.989912
7915025.631383 14326253.379810 20979063.077313
7760433.943993 14540909.634828 20888964.724642
7607743.245136 14755503.471496 20794447.002766
7456976.360050 14969973.010821 20695529.912324
7308154.902632 15184256.065830 20592234.379567
7161299.267836 15398290.168979 20484582.252001
7016428.624665 15612012.599724 20372596.293847
6873560.909747 15825360.412221 20256300.181316
6732712.821517 16038270.463162 20135718.497694
6593899.814997 16250679.439720 20010876.728248
6457136.097178 16462523.887589 19881801.254939
6322434.623006 16673740.239126 19748519.350963
6189807.091973 16884264.841553 19611059.175106
6059263.945321 17094033.985227 19469449.765914
5930814.363848 17302983.931957 19323721.035691
5804466.266331 17511050.943359 19173903.764313
5680226.308548 17718171.309224 19020029.592867
5558099.882928 17924281.375909 18862131.017117
5438091.118796 18129317.574708 18700241.380787
5320202.883235 18333216.450215 18534394.868680
5204436.782559 18535914.688653 18364626.499620
5090793.164399 18737349.146160 18190972.119219
4979271.120383 18937456.877014 18013468.392485
4869868.489441 19136175.161794 17832152.796252
4762581.861704 19333441.535450 17647063.611451
4657406.583010 19529193.815282 17458239.915205
4554336.760010 19723370.128807 17265721.572773
4453365.265873 19915908.941502 17069549.229327
4354483.746590 20106749.084414 16869764.301558
4257682.627867 20295829.781618 16666408.969141
4162951.122610 20483090.677518 16459526.166030
4070277.238994 20668471.863970 16249159.571598
3979647.789117 20851913.907219 16035353.601627
3891048.398231 21033357.874639 15818153.399141
3804463.514548 21212745.361256 15597604.825093
3719876.419611 21390018.516054 15373754.448899
3637269.239234 21565120.068035 15146649.538824
3556622.954999 21737993.352040 14916338.052225
3477917.416307 21908582.334300 14682868.625648
3401131.352977 22076831.637721 14446290.564786
3326242.388386 22242686.566879 14206653.834294
3253227.053143 22406093.132722 13964009.047466
3182060.799300 22566998.076964 13718407.455778
3112718.015075 22725348.896153 13469900.938296
3045172.040100 22881093.865417 13218541.990948
2979395.181169 23034182.061862 12964383.715672
2915358.728492 23184563.387620 12707479.809431
2853032.972444 23332188.592529 12447884.553106
2792387.220791 23477009.296439 12185652.800257
2733389.816405 23618978.011141 11920839.965776
2676008.155436 23758048.161885 11653502.014404
2620208.705953 23894174.108509 11383695.449142
2565957.027031 24027311.166137 11111477.299545
2513217.788283 24157415.625461 10836905.109896
2461954.789825 24284444.772586 10560036.927277
2412130.982663 24408356.908427 10280931.289529
2363708.489497 24529111.367656 9999647.213102
2316648.625924 24646668.537183 9716244.180808
2270911.922041 24760989.874167 9430782.129465
2226458.144431 24872037.923546 9143321.437448
2183246.318515 24979776.335079 8853922.912139
2141234.751279 25084169.879891 8562647.777281
2100381.054343 25185184.466512 8269557.660250
2060642.167375 25282787.156402 7974714.579224
2021974.381837 25376946.178964 7678180.930274
1984333.365048 25467630.946019 7380019.474368
1947674.184551 25554812.065754 7080293.324292
1911951.332781 25638461.356128 6779065.931492
1877118.752016 25718551.857728 6476401.072841
1843129.859597 25795057.846074 6172362.837330
1809937.573413 25867954.843363 5867015.612684
1777494.337627 25937219.629650 5560424.071918
1745752.148648 26002830.253453 5252653.159817
1714662.581316 26064766.041789 4943768.079358
1684176.815303 26123007.609623 4633834.278069
1654245.661717 26177536.868735 4322917.434329
1624819.589879 26228337.035995 4011083.443616
1595848.754285 26275392.641047 3698398.404695
1567283.021725 26318689.533388 3384928.605764
1539071.998542 26358214.888857 3070740.510549
1511165.058034 26393957.215505 2755900.744351
1483511.367975 26425906.358871 2440476.080059
1456059.918237 26454053.506638 2124533.424117
1428759.548516 26478391.192679 1808139.802458
1401558.976130 26498913.300486 1491362.346404
1374406.823895 26515615.065991 1174268.278539
1347251.648043 26528493.079751 856924.898546
1320041.966194 26537545.288531 539399.569030
1292726.285346 26542770.996257 221759.701312
1265253.129880 26544170.864346 -95927.258794
1237571.069575 26541746.911419 -413593.845218
1209628.747594 26535502.512389 -731172.585890
1181374.908459 26525442.396929 -1048596.016994
1152758.425978 26511572.647317 -1365796.697244
1123728.331119 26493900.695656 -1682707.222152
1094233.839818 26472435.320487 -1999260.238304
1064224.380709 26447186.642767 -2315388.457632
1033649.622756 26418166.121246 -2631024.671680
1002459.502781 26385386.547216 -2946101.765865
970604.252871 26348862.038658 -3260552.733722
938034.427649 26308608.033772 -3574310.691146
904700.931401 26264641.283901 -3887308.890602
870555.045040 26216979.845856 -4199480.735327
835548.452899 26165643.073632 -4510759.793505
799633.269336 26110651.609536 -4821079.812416
762762.065141 26052027.374710 -5130374.732558
724887.893726 25989793.559082 -5438578.701730
685964.317099 25923974.610713 -5745626.089094
645945.431591 25854596.224580 -6051451.499185
604785.893340 25781685.330780 -6355989.785887
562440.943504 25705270.082160 -6659176.066362
518866.433207 25625379.841389 -6960945.734939
474018.848191 25542045.167471 -7261234.476941
427855.333177 25455297.801707 -7559978.282470
380333.715900 25365170.653112 -7857113.460130
331412.530839 25271697.783291 -8152576.650692
281051.042594 25174914.390788 -8446304.840698
229209.268929 25074856.794910 -8738235.376000
175848.003452 24971562.419033 -9028305.975227
120928.837926 24865069.773398 -9316454.743189
64414.184200 24755418.437412 -9602620.184197
6267.295748 24642649.041450 -9886741.215317
-53547.711193 24526803.248175 -10168757.179531
-115065.836895 24407923.733388 -10448607.858828
-178321.177840 24286054.166400 -10726233.487203
-243346.906847 24161239.189960 -11001574.763563
-310175.253648 24033524.399725 -11274572.864551
-378837.485909 23902956.323299 -11545169.457270
-449363.890723 23769582.398836 -11813306.711907
-521783.756562 23633450.953233 -12078927.314263
-596125.355722 23494611.179912 -12341974.478174
-672415.927249 23353113.116198 -12602391.957830
-750681.660364 23209007.620322 -12860124.059985
-830947.678396 23062346.348040 -13115115.656051
-913238.023230 22913181.728886 -13367312.194083
-997575.640274 22761566.942077 -13616659.710644
-1083982.363958 22607555.892073 -13863104.842550
-1172478.903773 22451203.183804 -14106594.838494
-1263084.830847 22292564.097583 -14347077.570543
-1355818.565078 22131694.563706 -14584501.545509
-1450697.362828 21968651.136761 -14818815.916185
-1547737.305172 21803490.969655 -15049970.492452
-1646953.286724 21636271.787368 -15277915.752252
-1748359.005038 21467051.860447 -15502602.852413
-1851966.950593 21295889.978263 -15723983.639343
-1957788.397356 21122845.422026 -15942010.659578
-2065833.393950 20947977.937587 -16156637.170178
-2176110.755408 20771347.708028 -16367817.148982
-2288628.055533 20593015.326065 -16575505.304708
-2403391.619863 20413041.766265 -16779657.086901
-2520406.519244 20231488.357098 -16980228.695724
-2639676.564015 20048416.752836 -17177177.091592
-2761204.298808 19863888.905312 -17370460.004642
-2884990.997973 19677967.035548 -17560035.944050
-3011036.661614 19490713.605279 -17745864.207169
-3139340.012255 19302191.288370 -17927904.888511
-3269898.492135 19112462.942147 -18106118.888556
